geoname_id,continent_code,continent_name,country_iso_code,country_name,subdivision_iso_code,subdivision_name,city_name,metro_code,time_zone
4834157,NA,North America,US,United States,CT,Connecticut,Fairfield,501,America/New_York
4887398,NA,North America,US,United States,IL,Illinois,Chicago,602,America/Chicago
6252001,NA,North America,US,United States,,,,,
4158445,NA,North America,US,United States,FL,Florida,Hernando,539,America/New_York
4700168,NA,North America,US,United States,TX,Texas,Irving,623,America/Chicago
5223006,NA,North America,US,United States,RI,Rhode Island,Kingston,521,America/New_York
4347778,NA,North America,US,United States,MD,Maryland,Baltimore,512,America/New_York
5234372,NA,North America,US,United States,VT,Vermont,Burlington,523,America/New_York
5120095,NA,North America,US,United States,NY,New York,Harrison,501,America/New_York
4945289,NA,North America,US,United States,MA,Massachusetts,Newton Center,506,America/New_York
4942300,NA,North America,US,United States,MA,Massachusetts,Littleton,506,America/New_York
4885164,NA,North America,US,United States,IL,Illinois,Bloomington,675,America/Chicago
5392593,NA,North America,US,United States,CA,California,San Ramon,807,America/Los_Angeles
4890119,NA,North America,US,United States,IL,Illinois,Downers Grove,602,America/Chicago
4508778,NA,North America,US,United States,OH,Ohio,Circleville,535,America/New_York
5380184,NA,North America,US,United States,CA,California,Oxnard,803,America/Los_Angeles
4428667,NA,North America,US,United States,MS,Mississippi,Gulfport,746,America/Chicago
5746545,NA,North America,US,United States,OR,Oregon,Portland,820,America/Los_Angeles
4699066,NA,North America,US,United States,TX,Texas,Houston,618,America/Chicago
5796263,NA,North America,US,United States,WA,Washington,Greenbank,819,America/Los_Angeles
5212853,NA,North America,US,United States,PA,Pennsylvania,Somerset,574,America/New_York
5212198,NA,North America,US,United States,PA,Pennsylvania,Sidman,574,America/New_York
5037649,NA,North America,US,United States,MN,Minnesota,Minneapolis,613,America/Chicago
5089178,NA,North America,US,United States,NH,New Hampshire,Manchester,506,America/New_York
4932214,NA,North America,US,United States,MA,Massachusetts,Canton,506,America/New_York
5110266,NA,North America,US,United States,NY,New York,The Bronx,501,America/New_York
5391959,NA,North America,US,United States,CA,California,San Francisco,807,America/Los_Angeles
4784259,NA,North America,US,United States,VA,Virginia,Saluda,556,America/New_York
5392171,NA,North America,US,United States,CA,California,San Jose,807,America/Los_Angeles
5393015,NA,North America,US,United States,CA,California,Santa Clara,807,America/Los_Angeles
5400075,NA,North America,US,United States,CA,California,Sunnyvale,807,America/Los_Angeles
4140963,NA,North America,US,United States,DC,District of Columbia,Washington,511,America/New_York
5192726,NA,North America,US,United States,PA,Pennsylvania,Harrisburg,566,America/New_York
4787247,NA,North America,US,United States,VA,Virginia,Stafford,511,America/New_York
4775981,NA,North America,US,United States,VA,Virginia,Newington,511,America/New_York
4791160,NA,North America,US,United States,VA,Virginia,Vienna,511,America/New_York
4931972,NA,North America,US,United States,MA,Massachusetts,Cambridge,506,America/New_York
4930956,NA,North America,US,United States,MA,Massachusetts,Boston,506,America/New_York
4951418,NA,North America,US,United States,MA,Massachusetts,South Harwich,506,America/New_York
4956184,NA,North America,US,United States,MA,Massachusetts,Worcester,506,America/New_York
4174757,NA,North America,US,United States,FL,Florida,Tampa,539,America/New_York
4161400,NA,North America,US,United States,FL,Florida,Lake Wales,539,America/New_York
4171563,NA,North America,US,United States,FL,Florida,Saint Petersburg,539,America/New_York
4703811,NA,North America,US,United States,TX,Texas,Kyle,635,America/Chicago
5384170,NA,North America,US,United States,CA,California,Pomona,803,America/Los_Angeles
