medical_behavior,cb_code,cb_name,cb_desc,consumer_info,main_cpt_code,simple_complex,cb_category,main_facility,health_category_name,icd9,icd10
M,AA001,Abdominal Aortic Aneurysm - Endovascular Repair,"An abdominal aortic aneurysm (AAA) is a dilation (bulging) in a section of the wall of the abdominal part of the aorta (the main artery in your body).  It is generally defined as a bulging of one and a half times the normal diameter of the aorta or a diameter greater than or equal to 3 cm or 1.2 inches.  As the aorta continues to enlarge over time, the risk that a life threatening rupture causing massive bleeding could occur increases. There are two ways to repair an aortic aneurysm.
> An endovascular repair is a newer surgical procedure that is done through a small incision made in the groin.  A catheter (hollow tube) is inserted into the large artery in the groin  and threaded up to the aorta.  Using special x-rays, a collapsible tube (stent) is inserted into the aorta and expanded at the site of the aneurysm.  
> An open repair is a traditional surgery for repair of an AAA.  This surgery is done through a large incision made in the abdomen, usually from top to bottom (vertical incision).  A special graft (tube) is used to replace the weakened area of the aorta.  This surgery has been done for many years. The need for additional surgery is rare.  
> The size and shape of the aneurysm, as well as the condition of the arteries around the aneurysm, all determine whether a person is suitable for an endovascular repair.
This care path includes the costs for an endovascular repair.
","If you have any symptoms of an abdominal aortic aneurysm, make an appointment with your healthcare provider to discuss your options.  If you have symptoms of rupture of an AAA, as described above, you must seek medical attention immediately. 
 Ask your healthcare provider the following questions.  
> Am I at risk for developing an aneurysm?  How can I decrease my risk? 
> Do I have an aneurysm?  How large is it and what are my treatment options? 
> Can my symptoms be controlled with medications?  If so, are their Tier 1 or Tier 2 medications on my Prescription Drug List that I should take?
> Do I need any special tests?  What are the benefits and risks of having the tests?  
> Will the tests change your treatment recommendations?  If not, is there a need for them?
> What are the benefits and risks of an endovascular repair versus an open repair? 
> Is one type of surgery a better option over the other for me? Why or why not? 
> What symptoms are normal after the procedure? When should I be concerned? 
> How long after surgery should I follow-up with you?",34802,Complex,Inpatient,Hospital,Heart and Circulation,441.4,I71.4 
M,AA002,Angiography - Aorta,,,36200,Complex,Inpatient,Hospital,Heart and Circulation,441.4,I71.4 
M,AB001,Bronchitis - Acute,"Acute bronchitis is a short-term swelling of the lining of the air passages leading to the lungs. They are called bronchial tubes. This type of bronchitis usually occurs after a recent respiratory virus; bacterial infection (less common); or exposure to chemicals, dust or fumes.  
> Acute bronchitis is more common than chronic bronchitis, which is considered a form of COPD (Chronic Obstructive Pulmonary Disease).  COPD is a condition that is most often the result of chronic smoking.  
> Acute bronchitis can also develop when stomach acids back up into the throat and damage the tissue.  This is called gastroesophageal reflux disease, or GERD.
> Bronchitis often occurs after a cold and is most common in the winter.","Make an appointment with your healthcare provider if you have symptoms of bronchitis or a chest infection.
> Before your appointment, make a list of your medical history, including past illnesses, surgeries and hospitalizations; your medications (including over-the-counter); and any questions or concerns you want to discuss.
> During your appointment, ask about your overall health, what symptoms you might have, when you may start to see improvement; what the follow-up plans are, if any; and what symptoms you should report before your next appointment.
> After your appointment, you should know your diagnosis, what tests you might need, the reason for those tests, and if the test results will change your treatment plan.  You should also understand your treatment plan, any possible alternatives, and what medications are recommended (including possible side effects).",99213,Simple,Office,Clinic,Breathing and Lungs,4660,J20.9
M,AB002,COPD - Chronic Obstructive Pulmonary Disease,"Chronic obstructive pulmonary disease (COPD) is a lung disease that interferes with breathing by destruction of lung tissue and/or the chronic blocking of airways due to inflammation and mucous.   Smoking is by far the most common cause of COPD.  However, there are also occupational causes of COPD.  In addition, one type of COPD is caused by a genetic disorder. 
> People with COPD may have emphysema (destruction of lung tissue, especially the walls of the air sacs in the lungs) and/or chronic bronchitis (inflammation of the air passages in the lungs that leads to increased amounts of mucous and a chronic cough).  Most people with COPD have both emphysema and chronic bronchitis, though many people have more of one of these conditions than the other.
> COPD is a progressive condition, meaning the blockage and destruction of the lung tissue increases with time, which leads to worsening symptoms.
","Make an appointment with your healthcare provider if you are at high risk or have symptoms of COPD.
> Before your appointment, make a list of your medical history, including past illnesses, surgeries and hospitalizations; your medications (including over-the-counter); and any questions or concerns you want to discuss.
> During your appointment, ask about your overall health, what symptoms you might have, when you may start to see improvement; what the follow-up plans are, if any; and what symptoms you should report before your next appointment.  If you are a smoker, asking about smoking cessation programs in your area and other options to stop smoking.  
> After your appointment, you should know your diagnosis, what tests you might need, the reason for those tests, and how the test results will change your treatment plan.  You should also understand your treatment plan, any possible alternatives, and what medications are recommended (including possible side effects). 
> If your healthcare provider prescribes a medication for you, ask for a generic version. If your doctor thinks that a generic version is not right for you, ask for a medication on the lowest available tier of your Prescription Drug List (PDL).
",99214,Simple,Office,Clinic,Breathing and Lungs,496,J44.9
M,AB003,Asthma,"Asthma is a lung condition that is characterized by swelling and narrowing of the airways, which interferes with the flow of air within the lungs.  This can lead to chest tightness, wheezing, coughing, and difficulty breathing (shortness of breath).  Asthma is a chronic condition, meaning the symptoms can continue over a long period of time, possibly throughout a person's life.  The symptoms can range from minimal and well controlled to severe.  Severe symptoms are frequently known as an �asthma attack.�  Asthma attacks are often caused by one or more triggers.  Some common triggers are:
> exposure to animal hair or dander in people who are allergic
> exposure to dust, mold, and pollen in people who are allergic
> exercise, particularly in cold weather
> weather changes (especially cold weather)
> exposure to various chemicals in the air or food, especially cigarette smoke
> respiratory infections
> stress or other emotions
> in some people, aspirin and other NSAIDs (non-steroidal anti-inflammatory drugs)","Make an appointment with your healthcare provider if you have symptoms of asthma.
> Before your appointment, make a list of your medical history, including past illnesses, surgeries and hospitalizations; your medications (including over-the-counter); and any questions or concerns you want to discuss.
> During your appointment, ask about your overall health, what symptoms you might have, when you may start to see improvement; what the follow-up plans are, if any; and what symptoms you should report before your next appointment.  If you are a smoker, asking about smoking cessation programs in your area.  
> After your appointment, you should know your diagnosis, what tests you might need, the reason for those tests, and if the test results will change your treatment plan.  You should also understand your treatment plan, any possible alternatives, and what medications are recommended (including possible side effects). 
It is very important that you have an Action Plan for when your asthma acts up.
> If your healthcare provider prescribes a medication for you, ask for a generic version. If your doctor thinks that a generic version is not right for you, ask for a medication on the lowest available tier of your Prescription Drug List (PDL).
",99215,Simple,Office,Clinic,Breathing and Lungs,49390,J45.909
M,AB004,Lung Infection - Pneumonia,,,99213,Simple,Office,Clinic,Breathing and Lungs,486,J18.9
M,AC001,Acne,"Acne is the development of whiteheads, blackheads, or raised red spots on the skin.  These occur when the pores, or holes in the skin, become blocked with a plug made up of excessive oil, dirt, and bacteria.  If the top of the plug is white, it�s called a whitehead; if it is black, it�s called a blackhead.  Sometimes the plug opens, which allows the oil and bacteria to spread.  This can lead to additional redness and swelling.  If the plug goes deep into the skin, then painful, inflamed pockets (cysts) can form.
> Although it is more common in teenagers, acne can occur in infants and middle-aged adults.
","While acne can go away with self-care, there may be times you need to see a healthcare provider for further treatment.  Be prepared to discuss your symptoms and how long you�ve had them. 
> Before your appointment, make a list the key parts of your medical history, including past illnesses, surgeries and hospitalizations; your medications (including over-the-counter and supplements); and any questions or concerns you want to discuss.
> During your appointment, ask about your overall health, what symptoms you might have, when you may start to see improvement; what the follow-up plans are, if any; and what symptoms you should report before your next appointment.
> After your appointment, you should know your diagnosis, what tests you might need, the reason for those tests, and if the test results will change your treatment plan.  You should also understand your treatment plan, any possible alternatives, and what medications are recommended (including possible side effects or precautions you should take).
> If your healthcare provider wants you to take a medication, ask if an over-the-counter product is right for you.
> If your healthcare provider prescribes a medication for you, ask for a generic version. If your doctor thinks that a generic version is not right for you, ask for a medication on the lowest available tier of your Prescription Drug List (PDL).
",99213,Simple,Office,Clinic,Skin and Nail,7061,L70.9
M,AC002,Mole Removal,"Moles are small accumulations of  cells that produce melanin (the pigment that colors hair and skin).  Their color can vary from pink to varying shades of brown.  They are a common type of birthmark and frequently do not require any specific medical treatment.  However, some moles may be a form of  skin cancer. Even non-cancerous moles can sometimes cause problems, like bleeding or irritation if they are located on skin surfaces that rub against clothing.  
> Skin cancer refers to the growth of abnormal (malignant or cancerous) skin cells that can invade local tissues and sometimes spread to other parts of the body.  
> Moles may need to be removed if they  are changing in size or color, they bleed or become irritated or infected,  or there is an increased risk that they are cancerous.  

A skin biopsy to check for abnormal, or cancerous, cells is often done at the same time a mole is removed.  The biopsy can be done using various methods, depending on the type and size of the mole and area of the body involved.  The removal and biopsy of small moles can often be performed in a healthcare provider�s office, but in some cases they may need to be performed in an operating room.  
> Shave biopsy � The surgeon shaves off the top layer of skin.  No stitches are needed after this type of biopsy.
> Punch biopsy � The surgeon uses a sharp, hollow tube to remove a piece of a lesion.  A medication is injected into the lesion to numb the area prior to the biopsy.  Depending on how much tissue is removed, sutures may or may not be needed.
> Excisional biopsy � The surgeon removes the entire lesion for testing.  A medication is injected into the lesion to numb the area prior to the biopsy.  Sutures are usually needed; a skin graft may also be needed if the lesion is large.  
> Incisional biopsy � The surgeon removes a section of a lesion for testing.  A medication is injected into the lesion to numb the area prior to the biopsy.  Depending on how much tissue is removed, sutures may or may not be needed.

For certain type of skin cancers, a type of excision called Mohs surgery is an option. This office-based procedure is done by a certain type of dermatologist who removes thin layers of the cancer and immediately examines them under a microscope.  This is repeated after each removal until the margins of the tissue removed are free of cancer. Mohs surgery, when appropriate, allows for complete removal of the skin cancer, particularly on the face, with an excellent result. ","What should I ask my healthcare provider before having a mole removal and skin biopsy?
> What is my diagnosis and reason for the procedure?  
> What treatment options are best for me? 
> Do I need to see a dermatologist? Should I see dermatologist who performs Mohs surgery
> Should I see a plastic surgeon?
> Do I need to fast before the procedure and, if so, for how long?  Is there any other special preparation for the procedure?  (If so, get clear instructions on what you need to do.)
> What are the possible complications, how will I feel after the procedure, and how will I have to modify my activity?  Can I shower or bathe as I normally do?

Make a list of your questions/concerns/symptoms and medications (including over-the-counter). Verify which medications you should take before the procedure.  
After your procedure, you should know what you had done, what medication was given (if any), and what symptoms you should report to your healthcare provider. You should also understand all home care instructions (including medications and side effects) and follow-up plans.
",99213,Simple,Office,Clinic,Skin and Nail,2165,D23.5 
M,AC003,Abscess - Incision and Drainage,"A skin abscess is a collection of fluid (pus) produced by the body as a result of inflammation or infection.   The incision and drainage of a skin abscess involves making a small incision in the skin, usually by a scalpel, over the abscess to drain the pus.
> Abscesses on the skin are common and are most often due to bacterial infections.   
> Anyone can develop a skin abscess anywhere on their body.","While some minor abscesses can go away with self-care, there may be times you need to see a healthcare provider for further treatment.  Be prepared to discuss your symptoms and how long you�ve had them. 
> Before your appointment, make a list of the key parts of your medical history, including past illnesses, surgeries and hospitalizations; your medications (including over-the-counter and supplements); and any questions or concerns you want to discuss.
> During your appointment, ask about your overall health, what symptoms you might have, when you may start to see improvement; what the follow-up plans are, if any; and what symptoms you should report before your next appointment.
> After your appointment, you should understand your treatment plan, any possible alternatives, and what medications are recommended (including possible side effects or precautions you should take).
> If your healthcare provider wants you to take a medication, ask if an over-the-counter product is right for you.
> If your healthcare provider prescribes a medication for you, ask for a generic version. If your doctor thinks that a generic version is not right for you, ask for a medication on the lowest available tier of your Prescription Drug List (PDL).",10060,Simple,Office,Clinic,Skin and Nail,,
M,AC004,Excision Pilonidal Cyst,,,11771,Complex,Outpatient,Hospital,Skin and Nail,685.1,L05.92
