cb_code,cb_step_code,cb_step_name,cb_step_desc,service_category,provider_type,icd9,icd10
AA001,AA001_1,Office Visit with Specialist for Evaluation and Treatment,A visit with a specialist for a detailed evaluation and treatment of your symptoms,Office ,P,441.4,I71.4 
AA001,AA001_2,Repair of Abdominal Aortic Aneurysm,The repair of an abdominal aortic aneurysm through an incision in the groin,Inpatient,F,441.4,I71.4 
AA001,AA001_3,Follow-up Office Visit,A follow up office visit after you have left the hospital,Office ,P,441.4,I71.4 
AA002,AA002_1,Office Visit with Specialist for Evaluation and Treatment,A visit with a specialist for a detailed evaluation and treatment of your symptoms,Office ,P,441.4,I71.4 
AA002,AA002_2,Aorta Angiography,Putting a small movable tube into a large artery to check blood flow and look for abnormalitites in the wall of the aorta,Outpatient,F,441.4,I71.4 
AA002,AA002_3,Follow-up Office Visit,A follow up office visit after you have left the hospital,Office ,P,441.4,I71.4 
AB001,AB001_1,Office Visit,A visit with a primary care physician to evaluate your lungs and determine the best course of treatment,Office ,P,4660,J20.9
AB002,AB002_1,Office Visit,Two visits with a primary care physician to evaluate your respiratory symptoms and determine the best course of treatment,Office ,P,496,J44.9
AB003,AB003_1,Office Visit,Four visits with a primary care physician to evaluate your asthma and determine the best course of treatment,Office ,P,49390,J45.909
AB004,AB004_1,Office Visit,Two visits with a primary care physician to evaluate your respiratory symptoms and determine the best course of treatment,Office ,P,486,J18.9
AB004,AB004_1,Chest X-ray,X-ray of the chest,Radiology,P,486,J18.9
AC001,AC001_1,Office Visit,Two visits with a primary care physician to evaluate your acne and determine the best course of treatment,Office ,P,7061,L70.9 
AC002,AC002_1,Office Visit,A visit with a primary care physician to evaluate your mole and determine the best course of treatment,Office ,P,2165,D23.5 
AC003,AC003_1,Office Visit,A visit with a primary care physician to evaluate your abscess and determine the best course of treatment,Office ,P,,
AC004,AC004_1,Office Visit with Specialist for Evaluation and Treatment,A visit with a primary care physician to evaluate your back pain and determine the best course of treatment,Office ,P,685.1,L05.92
AC004,AC004_2,Removal of Pilonidal Cyst,Removal of pilonidal cyst,Outpatient,F,685.1,L05.92
AC004,AC004_3,Follow-up Office Visit,A follow up office visit after your procedure,Office ,P,685.1,L05.92
AE001,AE001_1,Office Visit,A visit with an acupuncturist and determine the best course of treatment,Office ,P,,
AF001,AF001_1,Office Visit,A visit with a primary care physician to evaluate your athlete's foot and determine the best course of treatment,Office ,P,1104,B35.3 
AP001,AP001_1,Office Visit,A visit with a primary care physician to evaluate your ankle pain and determine the best course of treatment,Office ,P,71947,M25.579 
AP002,AP002_1,Office Visit with Specialist for Evaluation,A visit with a specialist for a detailed evaluation and treatment of your symptoms,Office ,P,714,
AP002,AP002_2,Ankle Arthroscopy,Surgery that uses small medical instruments and a camera to look at the inside of the ankle joint,Outpatient,F,714,
AP002,AP002_3,Physical Therapy,An exercise program guided by a professional who understands the special needs of people with ankle problems,Physical Therapy,F,714,
AP002,AP002_4,Follow-up Office Visit,A checkup after your procedure,Office ,P,714,
AR001,AR001_1,Office Visit,A visit with a primary care physician to evaluate your rash and determine the best course of treatment,Office ,P,692.9,L23.9
AR002,AR002_1,Office Visit,A visit with a primary care physician to evaluate your rash and determine the best course of treatment ,Office ,P,1203,B65.3
AR003,AR003_1,Office Visit,A visit with a primary care physician to evaluate your eczema and determine the best course of treatment,Office ,P,6918,L20.84 
AS001,AS001_1,Office Visit,Two visits with a primary care physician to evaluate your allergy symptoms and determine the best course of treatment,Office ,P,4779,J30.9
AS002,AS002_1,Office Visit,A visit with a specialist to evaluate your allergy symptoms and perform allergy testing,Office ,P,4770,J30.1
AS003,AS003_1,Office Visit,A visit with a specialist to review the results of your allergy testing and the best course of treatment,Office ,P,4770,J30.1
AS003,AS003_2,Allergy Injections,The injection of an allergen to reduce allergy symptoms,Office ,P,4770,J30.1
AY001,AY001_1,Office Visit with Specialist for Evaluation,A visit with a specialist for a detailed evaluation and treatment of your symptoms,Office ,P,5409,K3580
AY001,AY001_2,Removal of Appendix,Surgery to remove the appendix through a few small incisions in the abdomen,Inpatient,F,5409,K3580
AY001,AY001_3,Follow-up Office Visit,A follow up office visit after you have left the hospital,Office ,P,5409,K3580
AY002,AY002_1,Office Visit with Specialist for Evaluation,A visit with a specialist for a detailed evaluation and treatment of your symptoms,Office ,P,5409,K3580
AY002,AY002_2,Removal of Appendix,Surgery to remove the appendix through a few small incisions in the abdomen,Outpatient,F,5409,K3580
AY002,AY002_3,Follow-up Office Visit,A follow up office visit after you have left the hospital,Office ,P,5409,K3580
BB001,BB001_1,Office Visit with Specialist for Evaluation and Treatment,A visit with a primary care physician to evaluate your broken bone and determine the best course of treatment,Office ,P,81342,S52.509A
BB001,BB001_2,Follow-up Office Visit,A follow up office visit to evaluate your fracture,Office ,P,81342,S52.509A
BB002,BB002_1,Emergency Room Visit,An emergency room visit to evaluate your fracture,Outpatient,F,81342,S52.509A
BB002,BB002_2,Follow-up Office Visit,A follow up office visit to evaluate your fracture,Office ,P,81342,S52.509A
BB003,BB003_1,Office Visit with Specialist for Evaluation and Treatment,A visit with a primary care physician to evaluate your broken bone and determine the best course of treatment,Office ,P,816.01,S62.609A
BB003,BB003_2,Follow-up Office Visit,A follow up office visit to evaluate your fracture,Office ,P,816.01,S62.609A
BB004,BB004_1,Emergency Room Visit,An emergency room visit to evaluate your fracture,Outpatient,F,816.01,S62.609A
BB004,BB004_2,Follow-up Office Visit,A follow up office visit to evaluate your fracture,Office ,P,816.01,S62.609A
BB005,BB005_1,Office Visit with Specialist for Evaluation and Treatment,A visit with a primary care physician to evaluate your broken bone and determine the best course of treatment,Office ,P,825.25,S92.309A 
BB005,BB005_2,Follow-up Office Visit,A follow up office visit to evaluate your fracture,Office ,P,825.25,S92.309A 
BB006,BB006_1,Emergency Room Visit,An emergency room visit to evaluate your fracture,Outpatient,F,825.25,S92.309A 
BB006,BB006_2,Follow-up Office Visit,A follow up office visit to evaluate your fracture,Office ,P,825.25,S92.309A 
BB007,BB007_1,Office Visit with Specialist for Evaluation and Treatment,A visit with a primary care physician to evaluate your broken bone and determine the best course of treatment,Office ,P,823,S82.109A 
BB007,BB007_2,Follow-up Office Visit,A follow up office visit to evaluate your fracture,Office ,P,823,S82.109A 
BB008,BB008_1,Office Visit with Specialist for Evaluation and Treatment,A visit with a primary care physician to evaluate your broken bone and determine the best course of treatment,Office ,P,823,S82.109A 
BB008,BB008_2,Broken Leg Repair,Surgery to repair a broken leg,Inpatient,F,823,S82.109A 
BB008,BB008_3,Outpatient Physical Therapy,An exercise program guided by a professional who understands the special needs of people recovering from a broken leg,Physical Therapy,F,823,S82.109A 
BB008,BB008_4,Follow-up Office Visit,Two follow up office visits after you have left the hospital,Office ,P,823,S82.109A 
BC001,BC001_1,Office Visit with Specialist for Evaluation and Treatment,A visit with a specialist to discuss birth control options,Office ,P,V25.11,Z30.430 
BC002,BC002_1,Office Visit with Specialist for Evaluation,A visit with a specialist for a detailed evaluation and treatment of your symptoms,Office ,P,V25.2,Z30.2
BC002,BC002_2,Tubual Ligation with Cautery,"Surgery to cut, tie, or burn a woman's fallopian tubes",Outpatient,F,V25.2,Z30.2
BC002,BC002_3,Follow-up Office Visit,A follow up office visit after you have left the hospital,Office ,P,V25.2,Z30.2
BD001,BD001_1,Blood Draw,The drawing of blood from a vein,Laboratory,F,,
BI001,BI001_1,Office Visit,A visit with a primary care physician to evaluate your urinary tract symptoms and determine the best course of treatment,Office ,P,5990,N39.0 
BP002,BP002_1,Back Pain - Doctor Visit,A visit with a primary care physician to evaluate your back pain and determine the best course of treatment,Office ,P,7242,M54.5 
BP004,BP004_1,Back Pain - Physical Therapy,A visit with a primary care physician to evaluate your back pain and determine the best course of treatment,Office ,P,7242,M54.5 
BP004,BP004_2,Physical Therapy,An exercise program guided by a professional who understands the special needs of people with back pain,Physical Therapy,F,7242,M54.5 
BP005,BP005_1,Back Pain - Chiropractor Visit,"A method of back pain treatment that is done by applying a sudden, controlled force to move a joint in the spine through its normal range of motion",Office ,P,7242,M54.5 
BP010,BP010_1,Back Pain - Chiropractor Visit,"A method of back pain treatment that is done by applying a sudden, controlled force to move a joint in the spine through its normal range of motion",Office ,P,7242,M54.5 
BP006,BP006_1,Initial Office Visit with PCP ,A visit with a primary care physician to evaluate your back pain and determine the best course of treatment,Office ,P,7242,M54.5 
BP006,BP006_2,Office Visit with Specialist for Evaluation,A visit with a specialist for a detailed evaluation and treatment of your symptoms,Office ,P,7242,M54.5 
BP006,BP006_3,Back Pain - Epidural Steroid Injection,"A shot that delivers pain medication directly to the nerves, joints, or muscles in your back",Outpatient,F,7242,M54.5 
BP006,BP006_4,Follow-up Office Visit,A doctor checkup after your procedure,Office ,P,7242,M54.5 
BP007,BP007_1,Office Visit with Specialist for Evaluation,A visit with a specialist for a detailed evaluation and treatment of your back pain,Office ,P,7384,"M43.06
M43.10"
BP007,BP007_2,MRI of Lumbar Spine,MRI of lower (lumbar) spine,Radiology,F,7384,"M43.06
M43.10"
BP007,BP007_3,Lumbar Laminectomy,Surgery that removes part of one or more lumbar vertebrae,Inpatient,F,7384,"M43.06
M43.10"
BP007,BP007_4,Outpatient Physical Therapy,An exercise program guided by a professional who understands the special needs of people recovering from back surgery,Physical Therapy,F,7384,"M43.06
M43.10"
BP007,BP007_5,Follow-up Office Visit,Three follow up office visits after you have left the hospital,Office ,P,7384,"M43.06
M43.10"
BP008,BP008_1,Office Visit with Specialist for Evaluation,A visit with a specialist for a detailed evaluation and treatment of your back pain,Office ,P,72402,M48.06 
BP008,BP008_2,MRI of Lumbar Spine,MRI of lower (lumbar) spine,Radiology,F,72402,M48.06 
BP008,BP008_3,Lumbar Fusion,"Surgery that joins, or fuses, two or more lumbar vertebrae",Inpatient,F,72402,M48.06 
BP008,BP008_4,Outpatient Physical Therapy,An exercise program guided by a professional who understands the special needs of people recovering from back surgery,Physical Therapy,F,72402,M48.06 
BP008,BP008_5,Follow-up Office Visit,Three follow up office visits after you have left the hospital,Office ,P,72402,M48.06 
BP009,BP009_1,Office Visit with Specialist for Evaluation,A visit with a specialist for a detailed evaluation and treatment of your back pain,Office ,P,7221,M51.26 
BP009,BP009_2,MRI of Lumbar Spine,MRI of lower (lumbar) spine,Radiology,F,7221,M51.26 
BP009,BP009_3,Lumbar Diskectomy,Surgery that removes the cushion between two lumbar vertebrae,Inpatient,F,7221,M51.26 
BP009,BP009_4,Outpatient Physical Therapy,An exercise program guided by a professional who understands the special needs of people recovering from back surgery,Physical Therapy,F,7221,M51.26 
BP009,BP009_5,Follow-up Office Visit,Three follow up office visits after you have left the hospital,Office ,P,7221,M51.26 
BP011,BP011_1,Office Visit with Specialist for Evaluation and Treatment,A visit with a primary care physician to evaluate your back pain and determine the best course of treatment,Office ,P,724.2,M54.5 
BP011,BP011_2,Myelogram - Lumbar Spine,Special imaging study to evaluate the lower spine,Outpatient,F,724.2,M54.5 
BP011,BP011_3,Follow-up Office Visit,Two follow up office visits after your procedure,Office ,P,724.2,M54.5 
BR001,BR001_1,Office Visit with Specialist for Evaluation,A visit with a specialist for a detailed evaluation and treatment,Office ,P,174.9,C50.919
BR001,BR001_2,Chest X-ray,X-ray of the chest,Radiology,,174.9,C50.919
BR001,BR001_3,Breast Reconstruction after Mastectomy,Surgery to reconstruct the breasts after a mastectomy,Inpatient,,174.9,C50.919
