cb_code,treatcond_keywords
AA001,AAA |  Endovascular Repair | Aortic Aneurysm | Aneurysm | Aorta | Rupture | Bulging
AA002,Artery | Aorta | Plaque | Vessel
AB001,Bronchitis | Respiratory Infection | Chest Infection | Cough | Shortness of Breath | Blood Tinged Phlegm | Severe Cough | Green Phlegm | Hacking Cough | Phlegm | Productive Cough | Infection in Chest
AB002,Cough | COPD | Bronchitis | Emphysema | Chronic Bronchitis | Blood Tinged Phlegm | Green Phlegm | Phlegm | Productive Cough
AB003,Cough | Exercise Induced Asthma | Breathing Difficulty | Wheezing | Green Phlegm | Phelgm | Productive Cough
AB004,Respiratory Infection | Chest Infection | Cough | Shortness of Breath | Blood Tinged Phlegm | Severe Cough | Green Phlegm | Hacking Cough | Phlegm | Productive Cough | Infection in Chest
AC001,Cystic Acne | Pimples
AC002,Cancer of Skin | Skin Biopsy | Biopsy Skin | Remove Mole
AC003,Abscess | Drain | Incision | Infection | Pus | Lance | Boil | Lesion | Draining
AC004,Pilonidal Cyst | Cyst | Excision
AE001,Needles | Alternative Medicine
AF001,Fungus | Fungal Infection of Feet | Ringworm of Feet
AP001,Ankle Pain | Ankle Strain | Ankle Injury | Hurt Ankle
AP002,Ankle Pain | Ankle Injury | Hurt Ankle | Arthroscopy
AR001,Rash | Dermatitis | Itching | Blisters | Hives | Red Skin | Allergic Reaction | Painful Rash | Poison Ivy | Poison Oak | Poison Sumac | Skin Breakout | Skin Problems | Skin Rash
AR002,Schistosomiasis | Rash
AR003,Rash | Dermatitis | Itching | Blisters | Red Skin | Painful Rash | Atopic Dermatitis | Skin Rash | Flaky Skin | Dry Skin | Allergic Rash | Skin Problems
AS001,Allergies | Eyes Itch | Itchy Eyes | Hayfever | Nasal Congestion | Runny Eyes | Runny Nose | Sneezing | Watery Eyes | Allergic Reaction
AS002,Allergies | Allergic | Scratch Test | Intradermal Test | RAST test | Skin Test
AS003,Allergies | Allergic | Allergy Shots | Allergy Injections | Immunotherapy
AY001,Appendix | Laparoscopic Appendectomy | Appendicitis | Removal of Appendix | Inflamed Appendix
AY002,Appendix | Laparoscopic Appendectomy | Appendicitis | Removal of Appendix | Inflamed Appendix 
BB001,Fracture | Arm | Wrist
BB002,Fracture | Arm | Wrist
BB003,Fracture | Finger
BB004,Fracture | Finger
BB005,Fracture | Foot
BB006,Fracture | Foot
BB007,Fracture | Leg
BB008,Fracture | Leg
BC001,IUD | Birth Control | Intrauterine Device | Mirena | Copper IUD | Contraception | Levonorgestrel | Progestin | Family Planning
BC002,Cut and Tie Tubes | Ligation | Sterilization | Permanent Birth Control | Birth Control | Family Planning | Tubes Tied | Female Sterilization
BD001,Phlebotomy | Lab Draw | Venipuncture
BI001,Bladder Infection | Bad Smelling Urine | Burning Urination | Frequent Urination | Cystitis | Painful Urination | Test for Urinary Tract Infection |  Urethritis | UTI
BP002,Doctor Visit for Back Pain | Primary Care Visit for Back Pain | Back Pain | Pain in Back | Lower Back Pain | Pain in Lower Back | Back Strain | Stiff Back | Bad Back | Sore Back | Back Pain - Office Visit
BP004,Exercises for Back Pain | Back Exercises | Back Pain | Back Pain Exercises | Back Strain | Bad Back | Lower Back Pain | Pain in Back | Pain in Lower Back | Sore Back | Stiff Back | Physical Therapy | Back Pain - Exercises | Back Pain - Exercises
BP005,Chiropractic Adjustment for Back Pain | Chiropractic Manipulation for Back Pain | Back Pain | Back Strain | Chiropractic Care | Lower Back Pain | Pain in Lower Back | Stiff Back | Sore Back | Bad Back | Back Adjustment | Pain in Back | Bad Back | Adjustment | Back Pain - Manipulation
BP006,Steroid Injection for Back Pain | Epidural Injection for Back Pain | Back Pain | Back Shot | Lower Back Pain | Pain in Back | Pain in Lower Back | Steroid | Back Pain - Injection
BP007,Laminectomy | Surgery on Back | Pain in Back | Lamina Removal | Back Surgery | Lumbar Laminectomy
BP008,Fusion | Surgery on Back | Pain in Back | Vertebrae Fusion | Back Surgery | Curvature of Spine | Join Vertebrae | Fuse Vertebrae | Scoliosis | Lumbar Fusion
BP009,Diskectomy | Discectomy | Surgery on Back | Pain in Back | Removal of Disk | Back Surgery | Herniated Disk | Diskectomy
BP010,Chiropractic Adjustment for Back Pain | Chiropractic Manipulation for Back Pain | Back Pain | Back Strain | Chiropractic Care | Lower Back Pain | Pain in Lower Back | Stiff Back | Sore Back | Bad Back | Back Adjustment | Pain in Back | Bad Back | Adjustment | Back Pain - Manipulation
BP011,Back Pain | Back Shot | Lower Back Pain | Pain in Back | Pain in Lower Back | Lumbar | Myelogram
BR001,Reconstruction | Breast | Mastectomy
BS001,Bursa | Shoulder
CA001,Endarterectomy | Plaque | CEA 
Care Path ID,"Related Key Words
Synonyms to Support Search"
CB001,Childbirth | Vaginal Childbirth | Normal Childbirth | Birth | Pregnancy | Maternity | Vaginal Delivery | Natural Childbirth
CB002,Childbirth | Cesarean Childbirth | Birth | Section | Pregnancy | Maternity | C-Section | C-section Childbirth
CC001,Cold | Cough | Headache | Nasal Congestion | Nasopharyngitis | Runny Nose | Sneezing | Nasal Drainage
CF001,Fusion | Surgery on Neck | Pain in Neck | Vertebrae Fusion | Neck Surgery | Curvature of Spine | Join Vertebrae | Fuse Vertebrae | Kyphosis | Cervical Fusion
CF002,Doctor Visit for Neck Pain | Primary Care Visit for Neck Pain | Neck Pain | Pain in Neck | Stiff Neck | Sore Neck | Cervicalgia
CM005,Chiropractic Care | Chiropractic Adjustment | Adjustment | Chiropractic Adjustment 
CP001,Chicken Pox | Chickenpox Shot | Chickenpox Vaccine | Varicella | Varicella-Zoster | Rash | Chicken Pox Shot | Chicken Pox Vaccine | Chicken Pox Immunization | Chickenpox Immunization | Immunization Chicken Pox | Immunization Chickenpox | Vaccine Chickenpox | Vaccine Chicken Pox | Varicella Vaccine
CR001,Biopsy | Breast Biopsy | Needle Biopsy
CR002,Cancer of Breast | Ductal Cancer | Lobular Cancer | HER2-Positive Cancer | ER-Positive Cancer | In Situ | BRCA1 | BRCA2 | Mastectomy | Removal of Breast | Breast Removal
CR003,Cancer of Breast | Ductal Cancer | Lobular Cancer | HER2-Positive Cancer | ER-Positive Cancer | In Situ | BRCA1 | BRCA2 | Radiotherapy | Radio Therapy
CR004,Cancer of Breast | Ductal Cancer | Lobular Cancer | HER2-Positive Cancer | ER-Positive Cancer | In Situ | BRCA1 | BRCA2 | Chemo | Chemotherapy
CR005,Cancer of Skin | Skin Biopsy | Biopsy Skin | Melanoma | Nonmelanoma | Mohs Surgery
CR006,Biopsy | Cervix Biopsy
CR007,Cancer of Cervix | Hysterectomy | Removal of Uterus | Uterus Removal | Uterus Removal
CR008,Colon Biopsy | Biopsy Colon
CR009,Cancer of Colon | Bowel Cancer | Intestine Cancer | Colon Biopsy | Biopsy Colon | Colectomy | Removal of Colon | Colon Removal | Partial Colectomy | Partial Removal of Colon | Partial Colon Removal
CR010,blank condition
CR011,Esophagus Biopsy
CR013,blank condition
CR014,Cancer of Esophagus | In Situ | Esophagus Cancer | Radiotherapy | Radio Therapy
CR015,Biopsy Thyroid | Thyroid Biopsy
CR016,Cancer of Thyroid | Thyroid Cancer | Thyroidectomy | Removal of Thyroid | Thyroid Removal | Needle Biopsy
CR017,blank condition
CR018,Cancer of  Thyroid | Thyroid Cancer | Radiotherapy | Radio Therapy
CR019,blank condition
CR020,blank condition
CR021,blank condition
CR022,Biopsy Bladder | Bladder Biopsy | Bladder Test
CR023,Cystoscopy | Fulguration | Bladder Cancer | Cancer of Bladder
CR024,Cancer of Bladder | Bladder Cancer | Cystectomy | Removal of Bladder | Bladder Removal
CR025,blank condition
CR028,Blood Tinged Phlegm | BP
CR029,Blood Tinged Phlegm | Cancer of Lung | Lung Cancer | Radiotherapy | Radio Therapy
CR030,Testicle Biopsy | Biopsy
CR031,Cancer of Testicle | Orchiectomy | Removal of Testicle | Testicle Removal
CR032,blank condition
CR033,Cancer of Testicle | Orchiectomy | Removal of Testicle | Testicle Removal | Radiotherapy | Radio Therapy
CR034,Biopsy | Kidney Biopsy | Needle Biopsy
CR035,Cancer of Kidney | Kidney Cancer | Nephrectomy | Removal of Kidney | Kidney Removal
CR036,Biopsy Head | Biopsy Neck | Head Biopsy | Neck Biopsy | Mouth Biopsy | Throat Biopsy | Tongue Biopsy | Biopsy
CR037,Cancer of Head | Cancer of the Neck | Cancer of the Mouth | Head Cancer | Neck Dissection |  Dissection | Lymph Node Removal | Throat Cancer |  Cervical Lymphadenectomy | Lymphadenectomy
CR038,blank condition
CR039,Cancer of Head | Cancer of the Neck | Cancer of the Mouth | Head Cancer | Mouth Cancer | Throat Cancer |  Radiotherapy | Radio Therapy
CR040,Prostate Biopsy | Biopsy | Needle Biopsy
CR041,Cancer of Prostate | Prostatectomy | Removal of Prostate | Prostate Removal
CR042,blank condition
CR043,Cancer of  Prostate | Prostate Cancer | Radiotherapy | Radio Therapy | Brachytherapy
CS001,Screening Colonoscopy | Colon Scan | Colonoscopy | Colorectal Cancer Screening | Cancer Screening | Colon Cancer | Preventative Exam | Preventive Screening | Preventive Exam | Screening Colonoscopy
CS002,Diagnostic Colonoscopy | Colon Scan | Colonoscopy | Colon Cancer | Diagnostic Colonoscopy
CS003,Diagnostic Colonoscopy | Colon Scan | Colonoscopy | Colon Cancer | Polyp Removal
CS004,Screening Colonoscopy | Colon Scan | Colonoscopy | Colon Cancer | Polyp Removal
CT001,Abdominal CT Scan | Abdominal CAT Scan | Abdominal Scan | CAT Scan of Abdomen With Contrast
CT002,Chest CT Scan | Chest CAT Scan | CAT Scan of Chest With Contrast
CT003,Pelvic CT Scan | Pelvic CAT Scan | Abdominal and Pelvic CT Scan | CAT Scan of Pelvis With Contrast
CT004,Head or Brain CT Scan | Head or Brain CAT Scan | Brain Scan | CAT Scan of Head or Brain Without Contrast
CT005,Abdominal and Pelvic CT Scan | Abdominal and Pelvic CAT Scan | Abdominal CAT Scan | Abdominal CT Scan | Abdominal Scan | Pelvic CT Scan | Pelvic CAT Scan | CAT Scan of Abdomen and Pelvis With Contrast
CT006,Facial CT Scan | Facial CAT Scan | Facial Bones | Jaw | CAT Scan of Face Without Contrast
CT007,Abdominal CT Scan | Abdominal CAT Scan | Abdominal Scan | CAT Scan of Abdomen Without Contrast
CT008,Abdominal CT Scan | Abdominal CAT Scan | Abdominal Scan | CAT Scan of Abdomen With and Without Contrast
CT009,Pelvic CT Scan | Pelvic CAT Scan | Abdominal and Pelvic CT Scan | CAT Scan of Pelvis Without Contrast
CT010,Chest Angiography CT Scan | Chest Angiography CAT Scan | Chest CAT Scan | Chest CT Scan | CAT Scan of Chest With Angiography
CT011,blank condition
CT012,blank condition
CT013,blank condition
CT014,blank condition
CT015,blank condition
CT016,blank condition
CT017,blank condition
CT018,blank condition
CT019,blank condition
CT020,blank condition
CT021,blank condition
CT022,blank condition
CT023,blank condition
CV001,Cardiovascular Stress Test | Heart Disease | Heart Problem | Heart Rhythm | Heart Stress Test | Stress Test | Coronary Artery | Cardiac Stress Test
CV004,Cardiovascular Stress Test With Ultrasound | Cardiovascular Stress Test | Cardiac Stress Test with Echo | Echocardiogram | Heart Disease | Heart Problem | Heart Rhythm | Heart Stress Test | Heart Ultrasound | Stress Echo | Stress Test | Echo | Ultrasound | Coronary Artery | Cardiovascular Ultrasound | Blood Flow | Cardiac Stress Test With Echo
CV005,Heart Ultrasound | Heart Problem | Heart Disease | Echo | Echocardiogram | Heart Defects | Birth Defect | Blood Flow | Ultrasound of Heart for Birth Defects
CV006,Echocardiogram | Echo | Heart Ultrasound | Blood Flow | Doppler | Heart Defects | Heart Disease | Heart Problem | Coronary Artery | Ultrasound of Heart With Blood Flow Mapping
